,Unnamed: 0,NeighborhoodBogota,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
640,640,SANTA FE,4.612613,-74.057481,"Don Teo, Fogon Y Parrilla",4.62071288907065,-74.06917707473315,Restaurant
647,647,SANTA FE,4.612613,-74.057481,Revellion,4.600991,-74.0704,Restaurant
649,649,SANTA FE,4.612613,-74.057481,Crepes & Waffles,4.600534188973231,-74.07098426497157,Restaurant
654,654,SANTA FE,4.612613,-74.057481,Suati,4.624050275529386,-74.0711946324081,Vegetarian / Vegan Restaurant
656,656,SANTA FE,4.612613,-74.057481,Prudencia,4.595643,-74.070733,Comfort Food Restaurant
658,658,SANTA FE,4.612613,-74.057481,Salsamentaria el Bohemio,4.608607566609569,-74.07198271333277,Fast Food Restaurant
665,665,SANTA FE,4.612613,-74.057481,La Quiche Javeriana,4.631139038827892,-74.06436336868407,French Restaurant
677,677,SUBA,4.739453,-74.075097,WOK,4.732777486416738,-74.06585064224905,Asian Restaurant
678,678,SUBA,4.739453,-74.075097,GORDO,4.731931,-74.067034,American Restaurant
683,683,SUBA,4.739453,-74.075097,Semolina,4.731963,-74.066919,Italian Restaurant
688,688,SUBA,4.739453,-74.075097,Chopinar,4.729442842407843,-74.06839994706986,Fast Food Restaurant
698,698,SUBA,4.739453,-74.075097,Hamburguesas El Corral,4.734768456373248,-74.0649604213829,Fast Food Restaurant
702,702,SUBA,4.739453,-74.075097,Corchos Barcelona,4.7326875,-74.06644,Spanish Restaurant
704,704,SUBA,4.739453,-74.075097,Teriyaki Street,4.731936,-74.06681,Japanese Restaurant
710,710,SUBA,4.739453,-74.075097,Hondashi,4.7279229164123535,-74.06498718261719,Asian Restaurant
714,714,SUBA,4.739453,-74.075097,Crepes & Waffles,4.750429979790418,-74.09564679081937,Restaurant
716,716,FONTIBÓN,4.6832,-74.1479,"Tabasco ""El picante lo pones tú""",4.675181039698448,-74.14168258031826,Mexican Restaurant
719,719,FONTIBÓN,4.6832,-74.1479,Crepes & Waffles,4.698244981274765,-74.14158403681115,French Restaurant
721,721,FONTIBÓN,4.6832,-74.1479,Archie's,4.6975946,-74.14295,Italian Restaurant
725,725,FONTIBÓN,4.6832,-74.1479,Piqueteadero Guadalajara,4.680663355484947,-74.14912955996549,Latin American Restaurant
745,745,FONTIBÓN,4.6832,-74.1479,Top Sushi Wok,4.691265280608282,-74.13668632507324,Sushi Restaurant
757,757,FONTIBÓN,4.6832,-74.1479,Punta Camaron,4.673152033877955,-74.13902363607562,Seafood Restaurant
759,759,FONTIBÓN,4.6832,-74.1479,Hamburguesas El Corral,4.67138280066433,-74.15326739030066,Fast Food Restaurant
766,766,LOS MÁRTIRES,4.610042,-74.091128,El Viejo Rancho Tolimense,4.610749872265807,-74.09328313918797,Latin American Restaurant
768,768,LOS MÁRTIRES,4.610042,-74.091128,Ventolini,4.618732193899985,-74.08666393101433,Restaurant
771,771,LOS MÁRTIRES,4.610042,-74.091128,Pescaderia Mar Y Mar,4.614257287791292,-74.10232956285506,Seafood Restaurant
772,772,LOS MÁRTIRES,4.610042,-74.091128,Restaurante León,4.614509516631832,-74.10373111578258,South American Restaurant
773,773,LOS MÁRTIRES,4.610042,-74.091128,Pescaderia Marineros,4.614158208300813,-74.10229637358282,Seafood Restaurant
775,775,LOS MÁRTIRES,4.610042,-74.091128,Brazzeiro Rodizio Do Brasil,4.617983256806231,-74.08633127867378,Brazilian Restaurant
793,793,LOS MÁRTIRES,4.610042,-74.091128,Restaurante El Poblado,4.627852,-74.08584,Latin American Restaurant
800,800,LOS MÁRTIRES,4.610042,-74.091128,Madre salon & cantina familiar,4.598069952759461,-74.07383866335611,Comfort Food Restaurant
802,802,LOS MÁRTIRES,4.610042,-74.091128,Leo Cocina y Cava,4.614607728829146,-74.0690856124495,Restaurant
804,804,LOS MÁRTIRES,4.610042,-74.091128,La Puerta de la Catedral,4.597847777902473,-74.07461068185023,Latin American Restaurant
807,807,LOS MÁRTIRES,4.610042,-74.091128,Crepes & Waffles,4.600534188973231,-74.07098426497157,Restaurant
809,809,LOS MÁRTIRES,4.610042,-74.091128,WOK Museo Nacional,4.6161323482680015,-74.06820566210953,Asian Restaurant
810,810,LOS MÁRTIRES,4.610042,-74.091128,Cevicheria Brisas del Caribe,4.610547634832835,-74.07114860844449,Caribbean Restaurant
815,815,LOS MÁRTIRES,4.610042,-74.091128,Restaurante Florida,4.607428418551867,-74.07089970786758,Restaurant
