,NeighborhoodBogota,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
138,ANTONIO NARIÑO,4.589768,-74.09906,La Barra Del Negro,4.579702,-74.094555,Burger Joint
139,ANTONIO NARIÑO,4.589768,-74.09906,Restaurante León,4.6145095166318315,-74.10373111578258,South American Restaurant
140,ANTONIO NARIÑO,4.589768,-74.09906,Arte y Pasión Café,4.598503776405138,-74.07750529525691,Café
141,ANTONIO NARIÑO,4.589768,-74.09906,Buffalo Wings,4.591667309642327,-74.12389856598912,Wings Joint
142,ANTONIO NARIÑO,4.589768,-74.09906,Papa John's,4.591625791940824,-74.12466420179693,Pizza Place
143,ANTONIO NARIÑO,4.589768,-74.09906,Pescaderia Mar Y Mar,4.6142572877912915,-74.10232956285506,Seafood Restaurant
144,ANTONIO NARIÑO,4.589768,-74.09906,Maria Tomasa - Cocina Caribe - Sede Museo,4.594956500833906,-74.07651106456801,Caribbean Restaurant
145,ANTONIO NARIÑO,4.589768,-74.09906,Cafe Rec,4.59449985001117,-74.07625277023705,Café
146,ANTONIO NARIÑO,4.589768,-74.09906,Juan Valdez Café,4.59778238461655,-74.074299406049,Coffee Shop
147,ANTONIO NARIÑO,4.589768,-74.09906,Museo Iglesia Santa Clara,4.596909878138206,-74.0773530495139,History Museum
148,ANTONIO NARIÑO,4.589768,-74.09906,Brasas y Pollos,4.602680338541254,-74.11184540900605,Restaurant
149,ANTONIO NARIÑO,4.589768,-74.09906,Bodytech Centro Mayor,4.591571431764492,-74.12361165404359,Gym / Fitness Center
150,PUENTE ARANDA,4.6149,-74.1227,Hornitos Panadería Pastelería,4.620116595789872,-74.11915231512401,Bakery
151,PUENTE ARANDA,4.6149,-74.1227,Bogotá Beer Company,4.618572142222209,-74.1344932960699,Brewery
152,PUENTE ARANDA,4.6149,-74.1227,Asadero Los Tronquitos,4.6151162982382,-74.11527589667809,BBQ Joint
153,PUENTE ARANDA,4.6149,-74.1227,Juan Valdez Café,4.6180684924142,-74.13529638372107,Coffee Shop
154,PUENTE ARANDA,4.6149,-74.1227,Don Chucho - Gallina Dorada a la Brasa,4.620184926050627,-74.12207192317987,Restaurant
155,PUENTE ARANDA,4.6149,-74.1227,Canterbury Café,4.619729357729142,-74.13745092392415,Cocktail Bar
156,PUENTE ARANDA,4.6149,-74.1227,Resturante El Carnal,4.619656501096342,-74.13510116231876,Mexican Restaurant
157,PUENTE ARANDA,4.6149,-74.1227,IMAX Procinal,4.619551843838605,-74.13540283634656,Movie Theater
158,PUENTE ARANDA,4.6149,-74.1227,Albondigas Del Paisa,4.615598406441243,-74.11042501201335,Latin American Restaurant
159,PUENTE ARANDA,4.6149,-74.1227,La Biferia,4.631957386333563,-74.11513972942217,Steakhouse
160,PUENTE ARANDA,4.6149,-74.1227,Plaza Central Centro Comercial,4.631885131344252,-74.11542177200317,Shopping Mall
161,PUENTE ARANDA,4.6149,-74.1227,La Poche Pescaderia,4.61206854353066,-74.13515846076845,Seafood Restaurant
162,PUENTE ARANDA,4.6149,-74.1227,Parque Ciudad Montes,4.602690465069198,-74.11552906036377,Park
163,PUENTE ARANDA,4.6149,-74.1227,Mercado Zapatoca,4.617209519614142,-74.12164301299686,Grocery Store
164,PUENTE ARANDA,4.6149,-74.1227,Sandwich Qbano Plaza de las Américas,4.619497845258063,-74.13517547323772,Sandwich Place
165,PUENTE ARANDA,4.6149,-74.1227,El Corral,4.619741132348266,-74.13514012872452,Burger Joint
166,PUENTE ARANDA,4.6149,-74.1227,Pepe ganga,4.61807077933419,-74.1342129174273,Toy / Game Store
167,PUENTE ARANDA,4.6149,-74.1227,Restaurante León,4.6145095166318315,-74.10373111578258,South American Restaurant
168,PUENTE ARANDA,4.6149,-74.1227,El Chingon Comida Mexicana,4.606432491938281,-74.11609776199086,Mexican Restaurant
169,PUENTE ARANDA,4.6149,-74.1227,Don Benítez,4.631840447954564,-74.11530565584721,Mexican Restaurant
170,PUENTE ARANDA,4.6149,-74.1227,Piquetadero Don Pascual,4.623939941860876,-74.11800368288024,Restaurant
171,PUENTE ARANDA,4.6149,-74.1227,Piqueteadero Donde Manuel,4.615594514389058,-74.13306264202579,BBQ Joint
172,PUENTE ARANDA,4.6149,-74.1227,Crepes & Waffles,4.619374775491387,-74.1354109168324,French Restaurant
173,PUENTE ARANDA,4.6149,-74.1227,Parque Primavera,4.61371212574957,-74.10879210451782,Park
174,PUENTE ARANDA,4.6149,-74.1227,Buffalo Wings,4.631785395520544,-74.11577807830791,Wings Joint
175,PUENTE ARANDA,4.6149,-74.1227,Donde Charles,4.634383136800948,-74.12785279273373,South American Restaurant
176,PUENTE ARANDA,4.6149,-74.1227,Crepes & Waffles Plaza Central,4.631612,-74.116012,Creperie
177,PUENTE ARANDA,4.6149,-74.1227,WOK,4.631750245121041,-74.11543788167975,Asian Restaurant
178,PUENTE ARANDA,4.6149,-74.1227,Cine Colombia,4.632053071467045,-74.11546979738742,Multiplex
179,PUENTE ARANDA,4.6149,-74.1227,Pescaderia Mar Y Mar,4.6142572877912915,-74.10232956285506,Seafood Restaurant
180,PUENTE ARANDA,4.6149,-74.1227,"Juan Valdez Café, Amerícas  Out",4.629815036426151,-74.11768100821996,Café
181,PUENTE ARANDA,4.6149,-74.1227,Pescaderia Marineros,4.614158208300813,-74.10229637358282,Seafood Restaurant
182,PUENTE ARANDA,4.6149,-74.1227,Farmatodo,4.6318599,-74.1155263,Pharmacy
183,PUENTE ARANDA,4.6149,-74.1227,Papa John's,4.591625791940824,-74.12466420179693,Pizza Place
184,PUENTE ARANDA,4.6149,-74.1227,Del Rodeo,4.617470909852757,-74.13637672997761,Burger Joint
185,PUENTE ARANDA,4.6149,-74.1227,Buffalo Wings,4.591667309642327,-74.12389856598912,Wings Joint
186,PUENTE ARANDA,4.6149,-74.1227,Brasas y Pollos,4.602680338541254,-74.11184540900605,Restaurant
187,PUENTE ARANDA,4.6149,-74.1227,Mr. Dog,4.61945395650178,-74.13750071011707,Hot Dog Joint
188,PUENTE ARANDA,4.6149,-74.1227,Bodytech Centro Mayor,4.591571431764492,-74.12361165404359,Gym / Fitness Center
189,PUENTE ARANDA,4.6149,-74.1227,BogoShake Factory - Fábrica de Malteadas,4.599089384549184,-74.10749551481834,Smoothie Shop
190,PUENTE ARANDA,4.6149,-74.1227,Club Deportivo Bavaria,4.633114212279791,-74.13498082655356,Sports Club
191,PUENTE ARANDA,4.6149,-74.1227,Falabella,4.633061389383339,-74.11398056818767,Department Store
192,PUENTE ARANDA,4.6149,-74.1227,Fantasías Del Mar,4.625800505961836,-74.1474542177538,Caribbean Restaurant
193,PUENTE ARANDA,4.6149,-74.1227,Crepes & Waffles,4.593221632664357,-74.12397643045296,French Restaurant
194,PUENTE ARANDA,4.6149,-74.1227,City Park CentroMayor,4.593077255289425,-74.12368916911527,Arcade
195,PUENTE ARANDA,4.6149,-74.1227,La Bonne Crepee,4.6071829204610975,-74.11724695219858,Creperie
196,PUENTE ARANDA,4.6149,-74.1227,Sandwich Qbano Mundo Aventura,4.620537780387442,-74.1373029323083,Sandwich Place
197,PUENTE ARANDA,4.6149,-74.1227,la berraquera,4.627094324778419,-74.14623291653741,Burger Joint
198,PUENTE ARANDA,4.6149,-74.1227,Teriyaki Plaza Central,4.631553,-74.116258,Japanese Restaurant
199,PUENTE ARANDA,4.6149,-74.1227,Azuki Manga,4.6210883412475985,-74.13785266392195,Japanese Restaurant
200,USAQUÉN,4.730458,-74.035666,Chopinar,4.724495660627525,-74.03249566472843,Buffet
201,USAQUÉN,4.730458,-74.035666,Harvey,4.72691051201831,-74.0357213800509,Fast Food Restaurant
202,USAQUÉN,4.730458,-74.035666,Da Quei Matti,4.72882880056242,-74.04109138714085,Italian Restaurant
203,USAQUÉN,4.730458,-74.035666,D1 calle 147,4.727946756487847,-74.0292344933041,Supermarket
204,USAQUÉN,4.730458,-74.035666,El Kiosco golosinas,4.7226577,-74.034035,Snack Place
205,USAQUÉN,4.730458,-74.035666,Madamia,4.73188173018741,-74.04181104348807,Dessert Shop
206,USAQUÉN,4.730458,-74.035666,Parque Cedritos,4.723524991889273,-74.03308868408203,Park
207,USAQUÉN,4.730458,-74.035666,Thai Station,4.72888457937698,-74.0409713736933,Thai Restaurant
208,USAQUÉN,4.730458,-74.035666,Hojaldres Y Postres,4.72455206459301,-74.03040342746327,Dessert Shop
209,USAQUÉN,4.730458,-74.035666,Casa Mexicana Express,4.72571,-74.03806,Mexican Restaurant
210,USAQUÉN,4.730458,-74.035666,Carulla,4.733016196823777,-74.04296556027633,Supermarket
211,USAQUÉN,4.730458,-74.035666,Wok,4.719637370608767,-74.03748908455442,Asian Restaurant
212,USAQUÉN,4.730458,-74.035666,Dolci Peccati Store,4.723411526796642,-74.02728973599523,Ice Cream Shop
213,USAQUÉN,4.730458,-74.035666,Golden Dance Academy,4.731102881300763,-74.04273525355072,Dance Studio
214,USAQUÉN,4.730458,-74.035666,Ciclovía,4.724147317554378,-74.03255118097998,Bike Rental / Bike Share
215,USAQUÉN,4.730458,-74.035666,avenida cero,4.724628,-74.033238,Restaurant
216,USAQUÉN,4.730458,-74.035666,Crepes & Waffles (Torre HHC Piso 10),4.719038,-74.036708,Creperie
217,USAQUÉN,4.730458,-74.035666,La Hamburguesería,4.728970409784067,-74.04095495004229,Burger Joint
218,USAQUÉN,4.730458,-74.035666,madamia,4.738145508925016,-74.02683799657473,Dessert Shop
219,USAQUÉN,4.730458,-74.035666,CatDog,4.731641783293459,-74.04480068904957,Pet Store
220,USAQUÉN,4.730458,-74.035666,Tostao',4.722692841916146,-74.04455662787849,Coffee Shop
221,USAQUÉN,4.730458,-74.035666,Parque Cedro Golf,4.72606977777203,-74.02785301208496,Park
222,USAQUÉN,4.730458,-74.035666,Arepas Venezolanas El Yaque,4.72738360166065,-74.03692322710262,Restaurant
223,USAQUÉN,4.730458,-74.035666,Homecenter y Constructor Cedritos,4.730394267170258,-74.03269410630429,Furniture / Home Store
224,USAQUÉN,4.730458,-74.035666,Pilato's,4.73731037740576,-74.04373602509172,Spa
225,USAQUÉN,4.730458,-74.035666,Bogota Beer Company Belaire Plaza,4.727042781669817,-74.0244573354721,Brewery
226,USAQUÉN,4.730458,-74.035666,Bodytech,4.723285405829244,-74.02672102410237,Gym
227,USAQUÉN,4.730458,-74.035666,Bogotá Beer Company - La Bodega Cll140,4.721681383878727,-74.04197581173423,Brewery
228,USAQUÉN,4.730458,-74.035666,Spinning Center Cedritros,4.725287038265255,-74.04571279135644,Gym / Fitness Center
229,USAQUÉN,4.730458,-74.035666,Teatro William Shakespeare,4.735925438073504,-74.04332614818789,Theater
230,USAQUÉN,4.730458,-74.035666,Carulla,4.7193858083068445,-74.03568398350586,Supermarket
231,USAQUÉN,4.730458,-74.035666,Crik La Hamburguesa 142,4.723683216771809,-74.04208412186736,Burger Joint
232,USAQUÉN,4.730458,-74.035666,P'kos Pan,4.732431,-74.044586,Bakery
233,USAQUÉN,4.730458,-74.035666,Crepes & Waffles,4.7223971060338865,-74.0467157371229,French Restaurant
234,USAQUÉN,4.730458,-74.035666,Bogotá Beer Company,4.722251331415455,-74.04666056309388,Brewery
235,USAQUÉN,4.730458,-74.035666,Dolci Peccati Gelato Bogotá,4.723448960547357,-74.0276224679104,Ice Cream Shop
236,USAQUÉN,4.730458,-74.035666,Cine Colombia,4.731891601021202,-74.04249038989316,Multiplex
237,USAQUÉN,4.730458,-74.035666,Pastelería La Rochelle,4.718779,-74.040336,Bakery
238,USAQUÉN,4.730458,-74.035666,Farmatodo,4.720830057987782,-74.04018976934623,Pharmacy
239,USAQUÉN,4.730458,-74.035666,Tostao',4.741086618316174,-74.04466611550396,Coffee Shop
240,USAQUÉN,4.730458,-74.035666,Don Jacobo,4.724555365627125,-74.04628664125327,Breakfast Spot
